Model,Processor,Full Product Name,Good,Broken
iMac,1.4 GHz,"iMac (14,4) Core i5 1.40 GHz 21.5” (Mid 2014)",,
iMac,1.6 GHz,"iMac (16,1) Core i5 1.6 GHz 21.5” (Late 2015)",,
iMac,2.3 GHz,"iMac (18,1) Core i5  2.3 GHz 21.5” (Mid 2017)",,
iMac,2.5 GHz,"iMac (12,1) Core i5 2.5 GHz 21.5” (2011)",,
iMac,2.7 GHz,"iMac (12,1) Core i5 2.7 GHz 21.5” (2011)",,
iMac,2.7 GHz,"iMac (12,2) Core i5 2.7 GHz 27” (2011)",,
iMac,2.7 GHz,"iMac (13,1) Core i5 2.7 GHz 21.5” (2012)",,
iMac,2.7 GHz,"iMac (14,1) Core i5 2.7 GHz 21.5” (2013)",,
iMac,2.8 GHz,"iMac (16,2) Core i5 2.8 GHz 21.5” (2015)",,
iMac,2.8 GHz,"iMac (11,3) Core i5 2.8 GHz 27” (2010)",,
iMac,2.8 GHz,"iMac (12,1) Core i7 2.8 GHz 21.5” (2011)",,
iMac,2.9 GHz,"iMac (13,1) Core i5 2.9 GHz 21.5” (2012)",,
iMac,2.9 GHz,"iMac (13,2) Core i5 2.9 GHz 27” (2012)",,
iMac,2.9 GHz,"iMac (14,3) Core i5 2.9 GHz 21.5” (2013)",,
iMac,2.93 GHz,"iMac (11,3) Core i7 2.93 GHz 27” (2010)",,
iMac,3.0 GHz,"iMac (18,2) Core i5 3.0 GHz 21.5” (2017)",,
iMac,3.06 GHz,"iMac (11,2) Core i3 3.06 GHz 21.5” (2010)",,
iMac,3.1 GHz,"iMac (16,2) Core i5 3.1 GHz 21.5” (2015)",,
iMac,3.1 GHz,"iMac (12,1) Core i3 3.1 GHz 21.5” (2011)",,
iMac,3.1 GHz,"iMac (12,2) Core i5 3.1 GHz 27” (2011)",,
iMac,3.1 GHz,"iMac (13,1) Core i7 3.1 GHz 21.5” (2012)",,
iMac,3.1 GHz,"iMac (14,3) Core i7 3.1 GHz 21.5” (2013)",,
iMac,3.2 GHz,"iMac (17,1) Core i5 3.2 GHz 27” (Late 2015)",,
iMac,3.2 GHz,"iMac (11,2) Core i3 3.2 GHz 21.5” (2010)",,
iMac,3.2 GHz,"iMac (11,2) Core i3 3.2 GHz 27” (2010)",,
iMac,3.2 GHz,"iMac (13,2) Core i5 3.2 GHz 27” (2012)",,
iMac,3.2 GHz,"iMac (14,2) Core i5 3.2 GHz 27” (2013)",,
iMac,3.3 GHz,"iMac (16,2) Core i7 3.3 GHz 21.5” (2015)",,
iMac,3.3 GHz,"iMac (17,1) Core i5 3.3 GHz 27” (Late 2015)",,
iMac,3.4 GHz,"iMac (13,2) Core i7 3.4 GHz 27” (2012)",,
iMac,3.4 GHz,"iMac (18,2) Core i5 3.4 GHz 21.5” (Mid 2017)",,
iMac,3.4 GHz,"iMac (18,3) Core i5 3.4 GHz 27” (Mid 2017)",,
iMac,3.4 GHz,"iMac (12,2) Core i7 3.4 GHz 27” (2011)",,
iMac,3.4 GHz,"iMac (14,2) Core i5 3.4 GHz 27” (2013)",,
iMac,3.5 GHz,"iMac (18,3) Core i5  3.5 GHz 27” (2017)",,
iMac,3.5 GHz,"iMac (14,2) Core i7 3.5 GHz 27” (2013)",,
iMac,3.5 GHz,"iMac (15,1) Core i5 3.5 GHz 27” Retina 5K (Late 2014)",,
iMac,3.6 GHz,"iMac (18,2) Core i7 3.6 GHz 21.5” (Mid 2017)",,
iMac,3.6 GHz,"iMac (11,2) Core i5 3.6 GHz 21.5” (2010)",,
iMac,3.6 GHz,"iMac (11,3) Core i5 3.6 GHz 27” (2010)",,
iMac,3.8 GHz,"iMac (18,3) Core i5 3.8 GHz 27” (Mid 2017)",,
iMac,4.0 GHz,"iMac (17,1) Core i7 4.0 GHz 27” (Late 2015)",,
iMac,4.0 GHz,"iMac (15,1) Core i7 4.0 GHz 27” Retina 5K (Late 2014)",,
iMac,4.2 GHz,"iMac (18,3) Core i7 4.2 GHz 27” (Mid 2017)",,
Mac Mini,1.4 GHz,"Mac Mini (7,1) Core i5 1.4 GHz (Late 2014)",,
Mac Mini,2.5 GHz,"Mac Mini (6,1) Core i5 2.5 GHz (2012)",,
Mac Mini,2.6 GHz,"Mac Mini (6,2) Core i7 2.6 GHz (2012)",,
Mac Mini,2.6 GHz,"Mac Mini (6,2) Core i7 2.6 GHz (Server 2012)",,
Mac Mini,2.6 GHz,"Mac Mini (7,1) Core i5 2.6 GHz (Late 2014)",,
Mac Mini,2.8 GHz,"Mac Mini (7,1) Core i5 2.8 GHz (Late 2014)",,
Mac Mini,3.0 GHz,"Mac Mini (7,1) Core i7 3.0 GHz (Late 2014)",,
