Model,Screen Size,Year,Processor,Storage,Upgrade,Full Product Name,Good,Broken
MacBook,12”,(Early 2016),1.1 GHz ,,,"MacBook (9,1) Core m3 1.1 GHz 12” (Early 2016)",,
MacBook,12”,(Early 2015),1.1 GHz,,,"MacBook (8,1) Core M 1.1 GHz 12” (Early 2015)",,
MacBook,12”,(Early 2016),1.2 GHz,,,"MacBook (9,1) Core m5 1.2 GHz 12” (Early 2016)",,
MacBook,12”,(Mid 2017),1.2 GHz,,,"MacBook (10,1) Core m3 1.2 GHz 12” 256GB (Mid 2017)",,
MacBook,12”,(Early 2015),1.2 GHz,,,"MacBook (8,1) Core M 1.20 GHz 12” (Early 2015)",,
MacBook,12”,(Early 2016),1.3 GHz,,,"MacBook (9,1) Core m7 1.3 GHz 12” (Early 2016)",,
MacBook,12”,(Mid 2017),1.3 GHz,,,"MacBook (10,1) Core i5 1.3 GHz 12” 512GB (Mid 2017)",,
MacBook,12”,(Early 2015),1.3 GHz,,,"MacBook (8,1) Core M 1.30 GHz 12” (Early 2015)",,
MacBook,12”,(Mid 2017),1.4 GHz ,,,"MacBook (10,1) Core i7 1.4 GHz 12” 256GB (Mid 2017)",,
MacBook,12”,(Mid 2017),1.4 GHz ,,,"MacBook (10,1) Core i7 1.4 GHz 12” 512GB (Mid 2017)",,
MacBook,13”,(Mid 2010),2.4 GHz,,,"MacBook (7,1) Core 2 Duo 2.4 GHz 13” (Mid 2010)",,
MacBook,11“,(Mid 2013),1.3 GHz,,,"MacBook Air (6,1) Core i5 1.3 GHz 11“ (Mid 2013)",,
MacBook Air,11“,(Early 2014),1.4 GHz,,,"MacBook Air (6,2) Core i5 1.4 GHz 11“ (Early 2014)",,
MacBook Air,11“,(Late 2010 ),1.4 GHz,,,"MacBook Air (3,1) Core 2 Duo 1.4 GHz 11“ (Late 2010 )",,
MacBook Air,11“,(Early 2015),1.6 GHz,,,"MacBook Air (7,1) Core i5 1.6 GHz 11“ (Early 2015)",,
MacBook Air,11“,(Late 2010 ),1.6 GHz,,,"MacBook Air (3,1) Core 2 Duo 1.6 GHz 11“ (Late 2010)",,
MacBook Air,11“,(Mid 2011),1.6 GHz,,,"MacBook Air (4,1) Core i5 1.6 GHz 11“ (Mid 2011)",,
MacBook Air,11“,(Early 2014),1.7 GHz,,,"MacBook Air (6,1) Core i7 1.7 GHz 11“ (Early 2014)",,
MacBook Air,11“,(Mid 2012),1.7 GHz,,,"MacBook Air (5,1) Core i5 1.7 GHz 11“ (Mid 2012)",,
MacBook Air,11“,(Mid 2013),1.7 GHz,,,"MacBook Air (6,1) Core i7 1.7 GHz 11“ (Mid 2013)",,
MacBook Air,11“,(Mid 2011),1.8 GHz,,,"MacBook Air (4,1) Core i7 1.8 GHz 11“ (Mid 2011)",,
MacBook Air,11“,(Mid 2012),2.0 GHz,,,"MacBook Air (5,1) Core i7 2.0 GHz 11“ (Mid 2012)",,
MacBook Air,11“,(Early 2015),2.2 GHz,,,"MacBook Air (7,1) Core i7 2.2 GHz 11“ (Early 2015)",,
MacBook Air,13“,(Mid 2013),1.3 GHz,,,"MacBook Air (6,2) Core i5 1.3 GHz 13“ (Mid 2013)",,
MacBook Air,13“,(Early 2014),1.4 GHz ,,,"MacBook Air (6,2) Core i5 1.4 GHz 13“ (Early 2014)",,
MacBook Air,13“,(Early 2015),1.6 GHz,,,"MacBook Air (7,2) Core i5 1.6 GHz 13“ (Early 2015)",,
MacBook Air,13“,(Early 2014),1.7 GHz,,,"MacBook Air (6,2) Core i7 1.7 GHz 13“ (Early 2014)",,
MacBook Air,13“,(Mid 2011),1.7 GHz,,,"MacBook Air (4,2) Core i5 1.7 GHz 13“ (Mid 2011)",,
MacBook Air,13“,(Mid 2013),1.7 GHz,,,"MacBook Air (6,2) Core i7 1.7 GHz 13“ (Mid 2013)",,
