Brand,Model,Carrier,Storage Capacity,Good,Broken,No Power
iPhone,6,Tmobile,16,,,
iPhone,6,Tmobile,64,,,
iPhone,6,Tmobile,128,,,
iPhone,6,Sprint,16,,,
iPhone,6,Sprint,64,,,
iPhone,6,Sprint,128,,,
iPhone,6,ATT,16,,,
iPhone,6,ATT,64,,,
iPhone,6,Att,128,,,
iPhone,6,Verizon,16,,,
iPhone,6,Verizon,64,,,
iPhone,6,Verizon,128,,,
iPhone,6,Other,16,,,
iPhone,6,Other,64,,,
iPhone,6,Other,128,,,
iPhone,6 Plus,Tmobile,16,,,
iPhone,6 Plus,Tmobile,64,,,
iPhone,6 Plus,Tmobile,128,,,
iPhone,6 Plus,Sprint,16,,,
iPhone,6 Plus,Sprint,64,,,
iPhone,6 Plus,Sprint,128,,,
iPhone,6 Plus,ATT,16,,,
iPhone,6 Plus,ATT,64,,,
iPhone,6 Plus,Att,128,,,
iPhone,6 Plus,Verizon,16,,,
iPhone,6 Plus,Verizon,64,,,
iPhone,6 Plus,Verizon,128,,,
iPhone,6 Plus,Other,16,,,
iPhone,6 Plus,Other,64,,,
iPhone,6 Plus,Other,128,,,
iPhone,6s,Tmobile,16,,,
iPhone,6s,Tmobile,32,,,
iPhone,6s,Tmobile,64,,,
iPhone,6s,Tmobile,128,,,
iPhone,6s,Sprint,16,,,
iPhone,6s,Sprint,32,,,
iPhone,6s,Sprint,64,,,
iPhone,6s,Sprint,128,,,
iPhone,6s,ATT,16,,,
iPhone,6s,ATT,32,,,
iPhone,6s,ATT,64,,,
iPhone,6s,ATT,128,,,
iPhone,6s,Verizon,16,,,
iPhone,6s,Verizon,32,,,
iPhone,6s,Verizon,64,,,
iPhone,6s,Verizon,128,,,
iPhone,6s,Other,16,,,
iPhone,6s,Other,32,,,
iPhone,6s,Other,64,,,
iPhone,6s,Other,128,,,
iPhone,6s Plus,Tmobile,16,,,
iPhone,6s Plus,Tmobile,32,,,
iPhone,6s Plus,Tmobile,64,,,
iPhone,6s Plus,Tmobile,128,,,
iPhone,6s Plus,Sprint,16,,,
iPhone,6s Plus,Sprint,32,,,
iPhone,6s Plus,Sprint,64,,,
iPhone,6s Plus,Sprint,128,,,
iPhone,6s Plus,ATT,16,,,
iPhone,6s Plus,ATT,32,,,
iPhone,6s Plus,ATT,64,,,
iPhone,6s Plus,ATT,128,,,
iPhone,6s Plus,Verizon,16,,,
iPhone,6s Plus,Verizon,32,,,
iPhone,6s Plus,Verizon,64,,,
iPhone,6s Plus,Verizon,128,,,
iPhone,6s Plus,Other,16,,,
iPhone,6s Plus,Other,32,,,
iPhone,6s Plus,Other,64,,,
iPhone,6s Plus,Other,128,,,
iPhone,7,Tmobile,32,,,
iPhone,7,Tmobile,128,,,
iPhone,7,Tmobile,256,,,
iPhone,7,Sprint,32,,,
iPhone,7,Sprint,128,,,
iPhone,7,Sprint,256,,,
iPhone,7,ATT,32,,,
iPhone,7,ATT,128,,,
iPhone,7,ATT,256,,,
iPhone,7,Verizon,32,,,
iPhone,7,Verizon,128,,,
iPhone,7,Verizon,256,,,
iPhone,7,Other,32,,,
iPhone,7,Other,128,,,
iPhone,7,Other,256,,,
iPhone,7 Plus,Tmobile,32,,,
iPhone,7 Plus,Tmobile,128,,,
iPhone,7 Plus,Tmobile,256,,,
iPhone,7 Plus,Sprint,32,,,
iPhone,7 Plus ,Sprint,128,,,
iPhone,7 Plus,Sprint,256,,,
iPhone,7 Plus,ATT,32,,,
iPhone,7 Plus,ATT,128,,,
iPhone,7 Plus,ATT,256,,,
iPhone,7 Plus,Verizon,32,,,
iPhone,7 Plus,Verizon,128,,,
iPhone,7 Plus,Verizon,256,,,
iPhone,7 Plus,Other,32,,,
iPhone,7 Plus,Other,128,,,
iPhone,7 Plus,Other,256,,,
iPhone,8,Tmobile,64,,,
iPhone,8,Tmobile,256,,,
iPhone,8,Sprint,64,,,
iPhone,8,Sprint,256,,,
iPhone,8,ATT,64,,,
iPhone,8,ATT,256,,,
iPhone,8,Verizon,64,,,
iPhone,8,Verizon,256,,,
iPhone,8,Other,64,,,
iPhone,8,Other,256,,,
iPhone,8 Plus,Tmobile,64,,,
iPhone,8 Plus,Tmobile,256,,,
iPhone,8 Plus,Sprint,64,,,
iPhone,8 Plus,Sprint,256,,,
iPhone,8 Plus,ATT,64,,,
iPhone,8 Plus,ATT,256,,,
iPhone,8 Plus,Verizon,64,,,
iPhone,8 Plus,Verizon,256,,,
iPhone,8 Plus,Other,64,,,
iPhone,8 Plus,Other,256,,,
iPhone,X,Tmobile,64,,,
iPhone,X,Tmobile,256,,,
iPhone,X,Sprint,64,,,
iPhone,X,Sprint,256,,,
iPhone,X,ATT,64,,,
iPhone,X,ATT,256,,,
iPhone,X,Verizon,64,,,
iPhone,X,Verizon,256,,,
iPhone,X,Other,64,,,
iPhone,X,Other,256,,,
Samsung,Note 5,Tmobile,32,,,
Samsung,Note 5,Tmobile,64,,,
Samsung,Note 5,Sprint,32,,,
Samsung,Note 5,Sprint,64,,,
Samsung,Note 5,ATT,32,,,
Samsung,Note 5,ATT,64,,,
Samsung,Note 5,Verizon,32,,,
Samsung,Note 5,Verizon,64,,,
Samsung,Note 5,Other,32,,,
Samsung,Note 5,Other,64,,,
Samsung,Note 8,Tmobile,64,,,
Samsung,Note 8,Sprint,64,,,
Samsung,Note 8,ATT,64,,,
Samsung,Note 8,Verizon,64,,,
Samsung,Note 8,Other,64,,,
Samsung,S6,Tmobile,32,,,
Samsung,S6,Tmobile,64,,,
Samsung,S6,Tmobile,128,,,
Samsung,S6,Sprint,32,,,
Samsung,S6,Sprint,64,,,
Samsung,S6,Sprint,128,,,
Samsung,S6,ATT,32,,,
Samsung,S6,ATT,64,,,
Samsung,S6,ATT,128,,,
Samsung,S6,Verizon,32,,,
Samsung,S6,Verizon,64,,,
Samsung,S6,Verizon,128,,,
Samsung,S6,Other,32,,,
Samsung,S6,Other,64,,,
Samsung,S6,Other,128,,,
Samsung,S6 Edge,Tmobile,32,,,
Samsung,S6 Edge,Tmobile,64,,,
Samsung,S6 Edge,Tmobile,128,,,
Samsung,S6 Edge,Sprint,32,,,
Samsung,S6 Edge,Sprint,64,,,
Samsung,S6 Edge,Sprint,128,,,
Samsung,S6 Edge,ATT,32,,,
Samsung,S6 Edge,ATT,64,,,
Samsung,S6 Edge,ATT,128,,,
Samsung,S6 Edge,Verizon,32,,,
Samsung,S6 Edge,Verizon,64,,,
Samsung,S6 Edge,Verizon,128,,,
Samsung,S6 Edge,Other,32,,,
Samsung,S6 Edge,Other,64,,,
Samsung,S6 Edge,Other,128,,,
Samsung,S6 Edge+,Tmobile,32,,,
Samsung,S6 Edge+,Tmobile,64,,,
Samsung,S6 Edge+,Sprint,32,,,
Samsung,S6 Edge+,Sprint,64,,,
Samsung,S6 Edge+,ATT,32,,,
Samsung,S6 Edge+,ATT,64,,,
Samsung,S6 Edge+,Verizon,32,,,
Samsung,S6 Edge+,Verizon,64,,,
Samsung,S6 Edge+,Other,32,,,
Samsung,S6 Edge+,Other,64,,,
Samsung,S7,Tmobile,32,,,
Samsung,S7,Sprint,32,,,
Samsung,S7,ATT,32,,,
Samsung,S7,Verizon,32,,,
Samsung,S7,Other,32,,,
Samsung,S7 Edge,Tmobile,32,,,
Samsung,S7 Edge,Sprint,32,,,
Samsung,S7 Edge,ATT,32,,,
Samsung,S7 Edge,Verizon,32,,,
Samsung,S7 Edge,Other,32,,,
Samsung,S8,Tmobile,64,,,
Samsung,S8,Sprint,64,,,
Samsung,S8,ATT,64,,,
Samsung,S8,Verizon,64,,,
Samsung,S8,Other,64,,,
Samsung,S8+,Tmobile,64,,,
Samsung,S8+,Sprint,64,,,
Samsung,S8+,ATT,64,,,
Samsung,S8+,Verizon,64,,,
Samsung,S8+,Other,64,,,
Google,Pixel,Tmobile,32,,,
Google,Pixel,Tmobile,128,,,
Google,Pixel,Sprint,32,,,
Google,Pixel,Sprint,128,,,
Google,Pixel,ATT,32,,,
Google,Pixel,ATT,128,,,
Google,Pixel,Verizon,32,,,
Google,Pixel,Verizon,128,,,
Google,Pixel,Other,32,,,
Google,Pixel,Other,128,,,
Google,Pixel XL,Tmobile,32,,,
Google,Pixel XL,Tmobile,128,,,
Google,Pixel XL,Sprint,32,,,
Google,Pixel XL,Sprint,128,,,
Google,Pixel XL,ATT,32,,,
Google,Pixel XL,ATT,128,,,
Google,Pixel XL,Verizon,32,,,
Google,Pixel XL,Verizon,128,,,
Google,Pixel XL,Other,32,,,
Google,Pixel XL,Other,128,,,
