Manufacturer,Model,Processor,Storage capacity,Ram,Good,Broken,No Power
Apple,iPad 1st gen Wifi,,16,,,,
Apple,iPad 1st gen Wifi,,32,,,,
Apple,iPad 1st gen Wifi,,64,,,,
Apple,iPad 1st gen ATT,,16,,,,
Apple,iPad 1st gen ATT,,32,,,,
Apple,iPad 1st gen ATT,,64,,,,
Apple,iPad 2 Wifi,,16,,,,
Apple,iPad 2 Wifi,,32,,,,
Apple,iPad 2 Wifi,,64,,,,
Apple,iPad 2 ATT,,16,,,,
Apple,iPad 2 ATT,,32,,,,
Apple,iPad 2 ATT,,64,,,,
Apple,iPad 2 Verizon,,16,,,,
Apple,iPad 2 Verizon,,32,,,,
Apple,iPad 2 Verizon,,64,,,,
Apple,iPad 3 Wifi,,16,,,,
Apple,iPad 3 Wifi,,32,,,,
Apple,iPad 3 Wifi,,64,,,,
Apple,iPad 3 ATT,,16,,,,
Apple,iPad 3 ATT,,32,,,,
Apple,iPad 3 ATT,,64,,,,
Apple,iPad 3 Verizon,,16,,,,
Apple,iPad 3 Verizon,,32,,,,
Apple,iPad 3 Verizon,,64,,,,
Apple,iPad 4 Wifi,,16,,,,
Apple,iPad 4 Wifi,,32,,,,
Apple,iPad 4 Wifi,,64,,,,
Apple,iPad 4 Wifi,,128,,,,
Apple,iPad 4 ATT,,16,,,,
Apple,iPad 4 ATT,,32,,,,
Apple,iPad 4 ATT,,64,,,,
Apple,iPad 4 ATT,,128,,,,
Apple,iPad 4 Verizon,,16,,,,
Apple,iPad 4 Verizon,,32,,,,
Apple,iPad 4 Verizon,,64,,,,
Apple,iPad 4 Verizon,,128,,,,
Apple,iPad 4 Sprint,,16,,,,
Apple,iPad 4 Sprint,,32,,,,
Apple,iPad 4 Sprint,,64,,,,
Apple,iPad 4 Sprint,,128,,,,
Apple,iPad 5 Wifi,,32,,,,
Apple,iPad 5 Wifi,,128,,,,
Apple,iPad 5 Tmobile,,32,,,,
Apple,iPad 5 Tmobile,,128,,,,
Apple,iPad 5 Sprint,,32,,,,
Apple,iPad 5 Sprint,,128,,,,
Apple,iPad 5 ATT,,32,,,,
Apple,iPad 5 ATT,,128,,,,
Apple,iPad 5 Verizon,,32,,,,
Apple,iPad 5 Verizon,,128,,,,
Apple,iPad 5 Unlocked,,32,,,,
Apple,iPad 5 Unlocked,,128,,,,
Apple,iPad Mini 1 Wifi,,16,,,,
Apple,iPad Mini 1 Wifi,,32,,,,
Apple,iPad Mini 1 Wifi,,64,,,,
Apple,iPad Mini 1 ATT,,16,,,,
Apple,iPad Mini 1 ATT,,32,,,,
Apple,iPad Mini 1 ATT,,64,,,,
Apple,iPad Mini 1 Verizon,,16,,,,
Apple,iPad Mini 1 Verizon,,32,,,,
Apple,iPad Mini 1 Verizon,,64,,,,
Apple,iPad Mini 1 Sprint,,16,,,,
Apple,iPad Mini 1 Sprint,,32,,,,
Apple,iPad Mini 1 Sprint,,64,,,,
Apple,iPad Mini 2 Wifi,,16,,,,
Apple,iPad Mini 2 Wifi,,32,,,,
Apple,iPad Mini 2 Wifi,,64,,,,
Apple,iPad Mini 2 Wifi,,128,,,,
Apple,iPad Mini 2 Tmobile,,16,,,,
Apple,iPad Mini 2 Tmobile,,32,,,,
Apple,iPad Mini 2 Tmobile,,64,,,,
Apple,iPad Mini 2 Tmobile,,128,,,,
Apple,iPad Mini 2 Sprint,,16,,,,
Apple,iPad Mini 2 Sprint,,32,,,,
Apple,iPad Mini 2 Sprint,,64,,,,
Apple,iPad Mini 2 Sprint,,128,,,,
Apple,iPad Mini 2 ATT,,16,,,,
Apple,iPad Mini 2 ATT,,32,,,,
Apple,iPad Mini 2 ATT,,64,,,,
Apple,iPad Mini 2 ATT,,128,,,,
Apple,iPad Mini 2 Verizon,,16,,,,
Apple,iPad Mini 2 Verizon,,32,,,,
Apple,iPad Mini 2 Verizon,,64,,,,
Apple,iPad Mini 2 Verizon,,128,,,,
Apple,iPad Mini 3 Wifi,,16,,,,
Apple,iPad Mini 3 Wifi,,64,,,,
Apple,iPad Mini 3 Wifi,,128,,,,
Apple,iPad Mini 3 Unlocked,,16,,,,
Apple,iPad Mini 3 Unlocked,,64,,,,
Apple,iPad Mini 3 Unlocked,,128,,,,
Apple,iPad Mini 4 Wifi,,16,,,,
Apple,iPad Mini 4 Wifi,,64,,,,
Apple,iPad Mini 4 Wifi,,128,,,,
Apple,iPad Mini 4 Unlocked,,16,,,,
Apple,iPad Mini 4 Unlocked,,64,,,,
Apple,iPad Mini 4 Unlocked,,128,,,,
Apple,iPad Air Wifi,,16,,,,
Apple,iPad Air Wifi,,32,,,,
Apple,iPad Air Wifi,,64,,,,
Apple,iPad Air Wifi,,128,,,,
Apple,iPad Air Tmobile,,16,,,,
Apple,iPad Air Tmobile,,32,,,,
Apple,iPad Air Tmobile,,64,,,,
Apple,iPad Air Tmobile,,128,,,,
Apple,iPad Air Sprint,,16,,,,
Apple,iPad Air Sprint,,32,,,,
Apple,iPad Air Sprint,,64,,,,
Apple,iPad Air Sprint,,128,,,,
Apple,iPad Air ATT,,16,,,,
Apple,iPad Air ATT,,32,,,,
Apple,iPad Air ATT,,64,,,,
Apple,iPad Air ATT,,128,,,,
Apple,iPad Air Verizon,,16,,,,
Apple,iPad Air Verizon,,32,,,,
Apple,iPad Air Verizon,,64,,,,
Apple,iPad Air Verizon,,128,,,,
Apple,iPad Air 2 Wifi,,16,,,,
Apple,iPad Air 2 Wifi,,64,,,,
Apple,iPad Air 2 Wifi,,128,,,,
Apple,iPad Air 2 Unlocked,,16,,,,
Apple,iPad Air 2 Unlocked,,64,,,,
Apple,iPad Air 2 Unlocked,,128,,,,
Microsoft,Surface RT,,32,,,,
Microsoft,Surface RT,,64,,,,
Microsoft,Surface Pro,,128,,,,
Microsoft,Surface Pro 2,,64,,,,
Microsoft,Surface Pro 2,,128,,,,
Microsoft,Surface Pro 2,,256,,,,
Microsoft,Surface Pro 2,,512,,,,
Microsoft,Surface Pro 3,i3,64,,,,
Microsoft,Surface Pro 3,i5,128,,,,
Microsoft,Surface Pro 3,i5,256,,,,
Microsoft,Surface Pro 3,i7,256,,,,
Microsoft,Surface Pro 3,i7,512,,,,
Microsoft,Surface Pro,m3,128,,,,
Microsoft,Surface Pro,i5,128,,,,
Microsoft,Surface Pro,i5,256,,,,
Microsoft,Surface Pro,i7,256,8GB,,,
Microsoft,Surface Pro,i7,256,16GB,,,
Microsoft,Surface Pro,,,,,,
Microsoft,Surface Pro,,,,,,
Microsoft,Surface Pro,,,,,,
