Product,Generation,Storage,Model Number,Good,Broken
iPod Touch,3rd,32,A1318,,
iPod Touch,3rd,64,A1318,,
iPod Touch,4th,8,A1367,,
iPod Touch,4th,16,A1367,,
iPod Touch,4th,32,A1367,,
iPod Touch,4th,64,A1367,,
iPod Touch,5th,16,"A1509, A1421",,
iPod Touch,5th,32,"A1509, A1421",,
iPod Touch,5th,64,"A1509, A1421",,
iPod Touch,6th,16,A1574,,
iPod Touch,6th,32,A1574,,
iPod Touch,6th,64,A1574,,
iPod Touch,6th,128,A1574,,
iPod Nano,6th,8,A1366,,
iPod Nano,6th,16,A1366,,
iPod Nano,7th,16,A1446,,
iPod Classic,5th,60,A1238,,
iPod Classic,5th,80,A1238,,
iPod Classic,6th,80,A1238,,
iPod Classic,6th,120,A1238,,
iPod Classic,6th,160,A1238,,
